Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2014,39,6.24315896,6.22227,6.5644,48421,3017,6
2014,40,6.370177397,6.28876,6.63068,48366,3075,6
2014,41,6.381685575,6.36496,6.70668,49360,3142,8
2014,42,6.291888379,6.44971,6.79123,49238,3085,13
2014,43,6.547655438,6.54172,6.88302,49071,3202,11
2014,44,6.470504214,6.63957,6.98067,49007,3154,17
2014,45,6.305706282,6.7418,7.0827,51049,3208,11
2014,46,6.445103858,6.84687,7.18755,50550,3240,18
2014,47,6.493061504,6.95318,7.29366,52533,3380,31
2014,48,6.68067713,7.05914,7.39941,51866,3419,46
2014,49,7.020171381,7.16317,7.50323,52748,3620,83
2014,50,7.383202002,7.2637,7.60356,53554,3785,169
2014,51,8.07366995,7.35922,7.69887,54622,4098,312
2014,52,8.524309274,7.44831,7.78774,56028,4264,512
2014,53,10.18405325,7.52961,7.86884,58896,4988,1010
2015,1,10.78710057,7.60191,7.94093,61212,5515,1088
2015,2,10.74267731,7.66411,8.00292,61009,5572,982
2015,3,10.04458566,7.71527,8.05388,58539,5169,711
2015,4,9.487659396,7.75461,8.093,57169,4841,583
2015,5,9.105506589,7.7815,8.11968,57295,4733,484
2015,6,8.807054125,7.79552,8.1335,56591,4579,405
2015,7,8.448489132,7.79643,8.1342,56590,4496,285
2015,8,8.476324259,7.78417,8.12172,56239,4546,221
2015,9,8.384867547,7.75888,8.09622,56435,4542,190
2015,10,8.26282984,7.72087,8.058,55671,4441,159
2015,11,7.967644085,7.67066,8.00758,54395,4195,139
2015,12,7.539600712,7.60894,7.94565,53345,3901,121
2015,13,7.41040506,7.53655,7.87304,53128,3840,97
2015,14,7.458725856,7.45449,7.79077,52757,3835,100
2015,15,7.574522921,7.36391,7.69998,52769,3922,75
2015,16,7.498545666,7.26608,7.60193,51570,3804,63
2015,17,7.193180491,7.16235,7.49799,51382,3646,50
2015,18,6.922346466,7.05418,7.38961,51601,3544,28
2015,19,6.893077288,6.94308,7.27829,50616,3467,22
2015,20,6.589344112,6.8306,7.16561,49231,3230,14
2015,21,6.797813768,6.71833,7.05311,49766,3365,18
2015,22,6.513565695,6.60781,6.94238,49205,3195,10
2015,23,6.476470233,6.5006,6.83495,49703,3208,11
2015,24,6.42685068,6.39817,6.73231,48982,3142,6
2015,25,6.52271613,6.30195,6.63588,48952,3189,4
2015,26,6.333265431,6.21327,6.54697,49090,3103,6
2015,27,6.295712032,6.13333,6.46682,48811,3066,7
2015,28,6.169801729,6.06322,6.39649,49175,3027,7
2015,29,6.195929801,6.00389,6.33694,48548,3005,3
2015,30,5.999505705,5.95612,6.28895,48554,2909,4
2015,31,6.121009728,5.92052,6.25313,48211,2947,4
2015,32,5.904266389,5.89754,6.22993,48050,2829,8
2015,33,6.072891242,5.88743,6.2196,48346,2930,6
2015,34,5.990412035,5.89025,6.22221,48394,2894,5
2015,35,6.041538145,5.9059,6.23763,48630,2935,3
2015,36,6.05562631,5.93406,6.26557,48682,2945,3
2015,37,6.176000656,5.97425,6.30554,48818,3009,6
2015,38,6.211634619,6.02582,6.35688,49198,3048,8
2015,39,6.269733875,6.08793,6.41877,48774,3052,6
2015,40,6.299166258,6.15961,6.49023,50975,3197,14
2015,41,6.292193353,6.23975,6.57015,49919,3134,7
2015,42,6.375521777,6.32712,6.6573,50788,3222,16
2015,43,6.314952807,6.42038,6.75033,50325,3161,17
2015,44,6.597195017,6.51811,6.84784,51052,3348,20
2015,45,6.395923044,6.61883,6.94833,50626,3224,14
2015,46,6.50129639,6.721,7.05028,51682,3347,13
2015,47,6.505268488,6.8231,7.15214,51343,3326,14
2015,48,6.691593108,6.92357,7.25239,51886,3450,22
2015,49,6.618758749,7.02091,7.3495,53575,3526,20
2015,50,6.717592415,7.11364,7.442,52102,3474,26
2015,51,6.682127571,7.20036,7.52849,53037,3529,15
2015,52,7.521347972,7.27977,7.60767,52464,3915,31
2016,1,7.658698183,7.35066,7.67834,55845,4245,32
2016,2,7.760404484,7.41195,7.7394,55577,4283,30
2016,3,7.396004998,7.46272,7.78993,55219,4048,36
2016,4,7.484325315,7.50216,7.82915,55663,4116,50
2016,5,7.521401625,7.52967,7.85643,55136,4086,61
2016,6,7.362461006,7.5448,7.87132,55457,3990,93
2016,7,7.477567298,7.54728,7.87357,56168,4051,149
2016,8,8.003768184,7.53704,7.8631,55199,4231,187
2016,9,8.059584056,7.51416,7.83999,55921,4250,257
2016,10,8.148596235,7.47895,7.80454,56206,4286,294
2016,11,8.253485518,7.43185,7.75722,54583,4154,351
2016,12,8.190410159,7.37352,7.69865,54808,4194,295
2016,13,7.746074124,7.30473,7.62963,53937,3896,282
2016,14,7.758748243,7.22644,7.55111,54068,3945,250
2016,15,7.640394825,7.13974,7.46417,53492,3891,196
2016,16,7.209512342,7.04581,7.37001,53152,3684,148
2016,17,6.908107473,6.94598,7.26993,51027,3398,127
2016,18,6.812818162,6.84162,7.16534,51271,3402,91
2016,19,6.498039216,6.73419,7.05767,51000,3240,74
2016,20,6.586351748,6.62518,6.94843,50468,3290,34
2016,21,6.393218593,6.51611,6.83912,50491,3198,30
2016,22,6.119246862,6.40849,6.73127,49712,3025,17
2016,23,6.394615061,6.30381,6.62635,49917,3175,17
2016,24,5.886595873,6.20352,6.52583,49910,2920,18
2016,25,5.817866715,6.109,6.43106,49623,2875,12
2016,26,5.877741371,6.02154,6.34336,49747,2914,10
2016,27,5.883299799,5.94232,6.26391,49700,2914,10
2016,28,5.906883978,5.87243,6.19378,49637,2926,6
2016,29,5.625228297,5.81279,6.1339,49278,2767,5
2016,30,5.652025192,5.76417,6.08505,49699,2804,5
2016,31,5.754857997,5.72722,6.04785,49506,2847,2
2016,32,5.687346709,5.70236,6.02276,49742,2827,2
2016,33,5.763787115,5.68989,6.01004,49811,2866,5
2016,34,5.721729647,5.68989,6.0098,49513,2827,6
2016,35,5.796458392,5.70228,6.02195,49582,2869,5
2016,36,5.762434359,5.72679,6.04623,50083,2881,5
2016,37,6.211441391,5.76299,6.08219,49924,3093,8
2016,38,6.065830093,5.81027,6.12922,49886,3017,9
2016,39,5.961121391,5.86785,6.18656,50259,2985,11
2016,40,5.913936659,5.93482,6.25329,51404,3022,18
2016,41,6.146173029,6.01014,6.32836,52130,3193,11
2016,42,6.191318547,6.09262,6.41061,51443,3178,7
2016,43,6.065747614,6.181,6.49875,51865,3129,17
2016,44,6.020907001,6.27393,6.59143,51753,3100,16
2016,45,6.143773434,6.36997,6.68723,52541,3209,19
2016,46,5.983913206,6.46768,6.7847,53460,3192,7
2016,47,6.167823486,6.56556,6.88234,53163,3257,22
2016,48,6.499880955,6.66213,6.97866,54601,3515,34
2016,49,6.616500453,6.75593,7.07222,55150,3616,33
2016,50,6.831898861,6.84554,7.16158,56002,3780,46
2016,51,6.750801988,6.92959,7.24539,56734,3738,92
2016,52,7.397250764,7.00681,7.32237,57616,4105,157
2017,1,8.101638741,7.07603,7.39134,59741,4551,289
2017,2,7.975983464,7.13618,7.45125,60958,4494,368
2017,3,8.418832265,7.18635,7.50118,59260,4614,375
2017,4,8.244277441,7.22576,7.54034,58016,4416,367
2017,5,8.215001456,7.25377,7.56811,58381,4445,351
2017,6,8.242494109,7.26995,7.58404,58987,4443,419
2017,7,8.480843633,7.27399,7.58784,58414,4410,544
2017,8,8.517030628,7.2658,7.5794,58248,4355,606
2017,9,8.357101612,7.24544,7.5588,57149,4241,535
2017,10,8.170043175,7.21317,7.52628,57209,4205,469
2017,11,7.895341642,7.16938,7.48225,56565,4090,376
2017,12,7.717690836,7.11468,7.4273,56973,4078,319
2017,13,7.576385759,7.0498,7.36218,55475,3875,328
2017,14,7.389942832,6.97563,7.28776,54926,3795,264
2017,15,7.254783925,6.89318,7.20506,54819,3769,208
2017,16,6.871452547,6.8036,7.11523,53031,3481,163
2017,17,6.645884584,6.70811,7.01951,53251,3451,88
2017,18,6.399072543,6.60806,6.91921,52617,3304,63
2017,19,6.267444323,6.50482,6.81572,51951,3207,49
2017,20,6.195517406,6.39982,6.71048,52425,3195,53
2017,21,6.097967998,6.29452,6.60493,50935,3082,24
2017,22,5.933163963,6.19037,6.50053,51170,3012,24
2017,23,6.104441191,6.08882,6.39873,51225,3109,18
2017,24,6.086166367,5.99124,6.30091,50623,3062,19
2017,25,5.850606179,5.899,6.20842,51140,2977,15
2017,26,5.840571395,5.81333,6.12251,50543,2942,10
2017,27,5.574440493,5.73541,6.04434,50893,2821,16
2017,28,6.080769616,5.66628,5.97496,49895,3030,4
2017,29,5.499950055,5.60685,5.91528,50055,2743,10
2017,30,5.765363129,5.5579,5.86609,49225,2835,3
2017,31,5.371867745,5.52006,5.82801,49964,2680,4
2017,32,5.417314671,5.49379,5.80149,50154,2711,6
2017,33,5.356786328,5.47937,5.78682,50086,2672,11
2017,34,5.569046463,5.47694,5.78414,49416,2745,7
2017,35,5.334569192,5.48643,5.79338,50707,2698,7
2017,36,5.552168355,5.50762,5.81433,50845,2811,12
2017,37,5.838779112,5.54011,5.84658,51569,3004,7
2017,38,5.741505116,5.58336,5.88958,51119,2920,15
2017,39,5.65580814,5.63664,5.94261,51204,2877,19
2017,40,5.802599904,5.7037,6.00967,51925,2997,16
2017,41,5.844914166,5.77907,6.08504,51378,2986,17
2017,42,6.062590274,5.86166,6.16763,51925,3121,27
2017,43,6.25803604,5.95029,6.25626,52109,3238,23
2017,44,6.019883572,6.04367,6.34964,52908,3149,36
2017,45,6.034301044,6.14046,6.44643,52185,3104,45
2017,46,6.237761174,6.23926,6.54523,52599,3232,49
2017,47,5.962392516,6.33864,6.64461,52915,3107,48
2017,48,6.484833705,6.43716,6.74313,53309,3378,79
2017,49,6.491406221,6.53341,6.83938,53178,3337,115
2017,50,6.803412598,6.62599,6.93196,55090,3591,157
2017,51,7.249162405,6.71356,7.01954,56710,3764,347
2017,52,8.230109989,6.79487,7.10085,57642,4110,634
2018,1,9.514140207,6.86874,7.17471,61067,4707,1103
2018,2,10.42779438,6.9341,7.24007,61221,4976,1408
2018,3,10.74618614,6.99002,7.29599,57881,4762,1458
2018,4,10.36069629,7.03567,7.34164,54977,4480,1216
2018,5,9.954786557,7.07042,7.37639,51091,4001,1085
2018,6,9.292972973,7.09375,7.39972,46250,3412,886
2018,7,8.816785752,7.10534,7.41131,37508,2654,653
